Date,Country,Destination,Category,Visitors,Revenue_USD,Average_Rating,Accommodation_Available,Season,Latitude,Longitude
2025-02,Brazil,Salvador,Nature,246292,20358647.06,4.5,Yes,Peak,-12.9777,-38.5016
2022-05,France,Paris,Nature,351479,64333516.8,4.1,Yes,Shoulder,48.8566,2.3522
2023-04,Brazil,Salvador,Wildlife,500631,189625950.91,3.5,Yes,Shoulder,-12.9777,-38.5016
2024-03,UAE,Abu Dhabi,Wildlife,449154,179490740.42,3.3,Yes,Peak,24.4539,54.3773
2022-07,UAE,Sharjah,Nature,360784,54438094.06,4.2,Yes,Off-Peak,25.3463,55.4209
2023-04,Italy,Florence,Historical,490100,119563999.92,4.8,Yes,Peak,43.7696,11.2558
2023-04,Switzerland,Zurich,Adventure,102793,23680752.5,4.1,No,Peak,47.3769,8.5417
2024-01,Italy,Milan,Urban,7260,3069612.85,4.6,No,Off-Peak,45.4642,9.19
2022-10,Switzerland,Lucerne,Nature,515311,97796698.32,4.9,Yes,Shoulder,47.0502,8.3093
2025-02,Australia,Sydney,Wildlife,57578,15318894.16,4.7,Yes,Peak,-33.8688,151.2093
2022-05,Switzerland,Zurich,Historical,199851,65916584.5,3.6,Yes,Shoulder,47.3769,8.5417
2024-03,Japan,Tokyo,Religious,90965,38736655.25,3.6,No,Peak,35.6762,139.6503
2025-07,USA,San Francisco,Urban,142235,35441134.72,4.9,Yes,Peak,37.7749,-122.4194
2022-07,Thailand,Chiang Mai,Historical,595341,166055327.4,4.1,Yes,Off-Peak,18.7883,98.9853
2023-07,France,Nice,Adventure,392477,95029785.66,4.2,No,Shoulder,43.7102,7.262
2023-08,Switzerland,Zurich,Historical,586542,250690456.47,3.4,Yes,Peak,47.3769,8.5417
2023-07,Switzerland,Zurich,Nature,290577,100399150.71,3.6,No,Shoulder,47.3769,8.5417
2022-06,Thailand,Phuket,Luxury,58266,22540714.44,3.3,No,Peak,7.8804,98.3923
2024-12,USA,Las Vegas,Luxury,468298,134652318.3,3.4,Yes,Shoulder,36.1699,-115.1398
2022-10,India,Mumbai,Luxury,584364,74304712.17,3.8,Yes,Off-Peak,19.076,72.8777
2023-11,Japan,Kyoto,Luxury,112786,49661897.5,4.5,Yes,Peak,35.0116,135.7681
2022-12,Italy,Milan,Religious,30990,11450278.28,3.9,Yes,Off-Peak,45.4642,9.19
2022-03,Italy,Rome,Wildlife,406124,65914118.31,4.7,No,Off-Peak,41.9028,12.4964
2022-02,USA,Las Vegas,Nature,238752,54299943.25,3.7,Yes,Off-Peak,36.1699,-115.1398
2023-10,Australia,Perth,Beach,567262,69589687.35,4.9,Yes,Shoulder,-31.9505,115.8605
2025-03,USA,New York,Luxury,118668,24671579.32,4.6,No,Shoulder,40.7128,-74.006
2025-01,Switzerland,Zurich,Nature,408906,71250777.61,4.5,Yes,Shoulder,47.3769,8.5417
2023-12,Switzerland,Lucerne,Luxury,211606,22407024.96,4.4,No,Shoulder,47.0502,8.3093
2024-09,Australia,Sydney,Urban,319910,104530712.31,3.8,No,Shoulder,-33.8688,151.2093
2025-07,Italy,Venice,Luxury,445869,147407697.73,4.8,No,Off-Peak,45.4408,12.3155
2023-07,Switzerland,Zurich,Nature,323635,77367735.03,4.2,No,Off-Peak,47.3769,8.5417
2024-09,Thailand,Phuket,Wildlife,229082,85603842.3,4.9,Yes,Shoulder,7.8804,98.3923
2025-07,France,Lyon,Religious,545490,62487659.99,4.9,Yes,Shoulder,45.764,4.8357
2022-10,USA,Las Vegas,Beach,213802,20759976.58,5.0,Yes,Off-Peak,36.1699,-115.1398
2025-10,UAE,Sharjah,Luxury,208880,54918636.13,3.6,Yes,Peak,25.3463,55.4209
2025-09,UAE,Dubai,Wildlife,189430,18674161.42,3.6,Yes,Off-Peak,25.2048,55.2708
2024-12,Italy,Milan,Religious,561932,242481893.18,4.8,No,Shoulder,45.4642,9.19
2024-05,Thailand,Bangkok,Urban,502732,180057191.55,4.7,No,Shoulder,13.7563,100.5018
2023-06,Thailand,Chiang Mai,Wildlife,255867,27804770.32,3.7,No,Off-Peak,18.7883,98.9853
2022-10,Australia,Sydney,Nature,150095,33279522.42,3.5,Yes,Peak,-33.8688,151.2093
2024-11,UAE,Abu Dhabi,Wildlife,351954,82299679.77,3.6,No,Off-Peak,24.4539,54.3773
2025-01,Brazil,Salvador,Luxury,25480,6535174.13,4.9,No,Off-Peak,-12.9777,-38.5016
2025-03,UAE,Sharjah,Nature,577661,150564397.45,3.7,No,Peak,25.3463,55.4209
2025-11,UAE,Abu Dhabi,Adventure,428956,167716260.47,4.9,Yes,Off-Peak,24.4539,54.3773
2022-06,Brazil,Salvador,Luxury,33418,4351318.02,4.0,Yes,Off-Peak,-12.9777,-38.5016
2024-06,UAE,Abu Dhabi,Religious,226941,46494583.4,4.8,No,Off-Peak,24.4539,54.3773
2022-02,USA,New York,Beach,498152,224151411.3,3.8,Yes,Shoulder,40.7128,-74.006
2023-01,India,Goa,Beach,264295,81903485.72,3.6,No,Shoulder,15.2993,74.124
2025-09,France,Nice,Urban,492623,179192747.51,3.5,Yes,Peak,43.7102,7.262
2023-08,USA,New York,Luxury,31925,7239381.43,4.5,Yes,Shoulder,40.7128,-74.006
2025-08,Japan,Tokyo,Historical,321232,120334814.66,4.2,Yes,Off-Peak,35.6762,139.6503
2022-05,Switzerland,Geneva,Religious,393571,33328102.18,4.0,No,Peak,46.2044,6.1432
2025-10,UAE,Abu Dhabi,Adventure,487071,117447548.91,4.5,No,Shoulder,24.4539,54.3773
2024-04,Switzerland,Geneva,Urban,492455,98122986.26,3.6,Yes,Off-Peak,46.2044,6.1432
2025-01,Thailand,Bangkok,Luxury,492282,100655300.31,4.1,No,Peak,13.7563,100.5018
2023-05,Thailand,Bangkok,Religious,377060,69180570.91,4.3,No,Shoulder,13.7563,100.5018
2023-04,India,Kerala,Luxury,94771,24713794.12,4.6,No,Shoulder,10.8505,76.2711
2022-06,Thailand,Phuket,Urban,23080,3738744.62,4.4,No,Shoulder,7.8804,98.3923
2024-12,Brazil,Sao Paulo,Religious,501249,119014763.43,4.5,No,Off-Peak,-23.5505,-46.6333
2023-05,Thailand,Phuket,Nature,326517,40697953.08,3.5,Yes,Shoulder,7.8804,98.3923
2023-01,Switzerland,Lucerne,Nature,199143,70353980.21,3.7,No,Peak,47.0502,8.3093
2023-12,Japan,Osaka,Adventure,243533,46719129.1,4.5,Yes,Off-Peak,34.6937,135.5023
2023-07,India,Goa,Adventure,585238,184942097.65,4.6,Yes,Peak,15.2993,74.124
2024-07,Brazil,Sao Paulo,Wildlife,497198,102453214.06,4.9,No,Off-Peak,-23.5505,-46.6333
2024-08,France,Paris,Historical,425172,124787058.48,4.4,Yes,Peak,48.8566,2.3522
2023-04,Brazil,Sao Paulo,Historical,94318,27020883.02,3.9,Yes,Shoulder,-23.5505,-46.6333
2023-08,UAE,Abu Dhabi,Luxury,469226,90556249.69,4.3,Yes,Peak,24.4539,54.3773
2022-11,Japan,Osaka,Nature,90131,13006895.9,3.3,Yes,Off-Peak,34.6937,135.5023
2023-07,Thailand,Chiang Mai,Beach,497738,82448411.67,4.5,No,Peak,18.7883,98.9853
2024-04,Japan,Osaka,Historical,212428,59795949.88,4.4,No,Peak,34.6937,135.5023
2023-08,France,Paris,Urban,178982,43400768.14,4.0,No,Shoulder,48.8566,2.3522
2024-11,UAE,Abu Dhabi,Wildlife,529783,128192005.49,4.3,No,Shoulder,24.4539,54.3773
2022-06,Australia,Gold Coast,Nature,32121,14001772.21,4.7,Yes,Shoulder,-28.0167,153.4
2024-07,USA,New York,Wildlife,188700,79055285.98,3.5,No,Shoulder,40.7128,-74.006
2023-11,Thailand,Bangkok,Luxury,497841,101223076.08,4.4,Yes,Off-Peak,13.7563,100.5018
2023-07,UAE,Sharjah,Luxury,524536,199858409.23,4.2,No,Peak,25.3463,55.4209
2022-08,Australia,Gold Coast,Luxury,343977,137596618.75,4.7,Yes,Shoulder,-28.0167,153.4
2022-04,Switzerland,Geneva,Nature,438321,119145542.99,4.3,No,Shoulder,46.2044,6.1432
2023-06,Thailand,Bangkok,Adventure,218446,92454849.45,4.0,No,Peak,13.7563,100.5018
2023-08,India,Kerala,Beach,171071,48641134.3,3.4,Yes,Off-Peak,10.8505,76.2711
2025-10,France,Nice,Urban,527584,141541631.28,3.7,No,Off-Peak,43.7102,7.262
2022-10,Japan,Nara,Luxury,583043,87763035.73,4.3,Yes,Peak,34.6851,135.8048
2024-09,USA,San Francisco,Urban,361385,138628480.41,3.7,No,Shoulder,37.7749,-122.4194
2022-10,Brazil,Salvador,Wildlife,518425,144783045.32,3.8,No,Off-Peak,-12.9777,-38.5016
2025-01,Australia,Melbourne,Luxury,255405,42504016.12,4.6,Yes,Off-Peak,-37.8136,144.9631
2024-01,Thailand,Chiang Mai,Adventure,404749,106558916.97,3.3,No,Peak,18.7883,98.9853
2024-06,Thailand,Bangkok,Beach,556499,193274449.01,3.9,Yes,Peak,13.7563,100.5018
2025-04,Thailand,Phuket,Luxury,360007,115360485.2,4.7,No,Off-Peak,7.8804,98.3923
2025-04,Thailand,Chiang Mai,Historical,42642,7115456.9,4.4,No,Peak,18.7883,98.9853
2025-05,France,Cannes,Historical,108225,26424331.16,4.4,Yes,Peak,43.5528,7.0174
2023-11,Australia,Sydney,Religious,312618,74826403.63,3.6,No,Shoulder,-33.8688,151.2093
2022-06,Italy,Venice,Luxury,188573,58324278.03,3.6,Yes,Peak,45.4408,12.3155
2024-06,Thailand,Chiang Mai,Urban,271314,88646712.27,4.8,No,Off-Peak,18.7883,98.9853
2024-05,Switzerland,Zurich,Religious,82449,36725351.01,3.7,No,Shoulder,47.3769,8.5417
2023-01,USA,San Francisco,Luxury,321797,127346052.52,3.4,No,Shoulder,37.7749,-122.4194
2022-02,Australia,Gold Coast,Luxury,314571,57112800.04,4.2,Yes,Shoulder,-28.0167,153.4
2025-03,Thailand,Phuket,Religious,246296,39661458.51,3.5,No,Shoulder,7.8804,98.3923
2023-08,Italy,Rome,Wildlife,46337,4278984.55,3.9,Yes,Peak,41.9028,12.4964
2022-12,USA,Orlando,Nature,440686,56804039.87,4.2,No,Shoulder,28.5383,-81.3792
2023-05,Switzerland,Geneva,Wildlife,177537,77749152.69,3.7,No,Peak,46.2044,6.1432
2023-03,Thailand,Bangkok,Luxury,152594,66819357.13,4.6,No,Peak,13.7563,100.5018
2024-11,UAE,Dubai,Historical,282304,70087848.47,4.4,No,Shoulder,25.2048,55.2708
2022-07,UAE,Sharjah,Nature,394518,100383701.07,4.3,No,Shoulder,25.3463,55.4209
2025-09,Japan,Tokyo,Urban,491819,157489589.24,3.4,Yes,Peak,35.6762,139.6503
2022-07,USA,San Francisco,Nature,126761,51754734.57,3.4,No,Off-Peak,37.7749,-122.4194
2024-03,Switzerland,Geneva,Historical,167029,64885161.14,4.3,No,Peak,46.2044,6.1432
2024-05,Australia,Melbourne,Nature,469920,186331067.29,3.4,No,Shoulder,-37.8136,144.9631
2023-06,Australia,Sydney,Nature,422479,185145736.91,4.9,No,Peak,-33.8688,151.2093
2023-10,Japan,Tokyo,Nature,58035,25875701.83,4.6,Yes,Peak,35.6762,139.6503
2023-03,Switzerland,Zurich,Religious,231441,84826916.07,4.6,Yes,Off-Peak,47.3769,8.5417
2023-05,Italy,Venice,Adventure,571456,68959166.29,4.8,Yes,Peak,45.4408,12.3155
2022-02,Australia,Melbourne,Adventure,344498,61384713.08,3.4,No,Shoulder,-37.8136,144.9631
2024-05,France,Paris,Religious,504380,136131175.59,3.4,Yes,Shoulder,48.8566,2.3522
2025-06,India,Delhi,Beach,485292,49745050.95,4.1,No,Off-Peak,28.6139,77.209
2022-05,France,Cannes,Historical,470108,93636757.04,3.5,Yes,Off-Peak,43.5528,7.0174
2025-10,Brazil,Salvador,Religious,579993,128140537.44,4.3,No,Off-Peak,-12.9777,-38.5016
2022-07,Switzerland,Lucerne,Historical,456096,180401161.83,4.4,Yes,Off-Peak,47.0502,8.3093
2023-10,Thailand,Bangkok,Wildlife,438914,99866176.23,4.5,No,Off-Peak,13.7563,100.5018
2022-10,Australia,Gold Coast,Wildlife,397483,41671849.03,4.7,Yes,Off-Peak,-28.0167,153.4
2024-12,France,Lyon,Beach,141435,42005074.92,4.2,No,Shoulder,45.764,4.8357
2025-07,France,Cannes,Luxury,375774,150758309.89,4.5,No,Shoulder,43.5528,7.0174
2025-01,USA,Orlando,Nature,113633,15596148.01,4.1,Yes,Off-Peak,28.5383,-81.3792
2023-06,Switzerland,Geneva,Nature,125465,47510070.85,4.7,Yes,Shoulder,46.2044,6.1432
2023-06,USA,New York,Urban,194179,81743316.69,3.8,Yes,Peak,40.7128,-74.006
2022-05,Brazil,Salvador,Adventure,425252,150606632.5,4.9,Yes,Shoulder,-12.9777,-38.5016
2024-03,Switzerland,Zurich,Wildlife,399468,82342943.34,3.9,No,Shoulder,47.3769,8.5417
2022-10,Brazil,Rio de Janeiro,Adventure,60164,21607375.69,3.3,Yes,Off-Peak,-22.9068,-43.1729
2024-08,Thailand,Chiang Mai,Wildlife,449611,104870858.89,3.6,Yes,Off-Peak,18.7883,98.9853
2025-08,UAE,Dubai,Wildlife,302005,83040991.96,3.8,Yes,Off-Peak,25.2048,55.2708
2023-02,Brazil,Rio de Janeiro,Urban,13060,5612795.05,4.6,No,Off-Peak,-22.9068,-43.1729
2024-08,Australia,Sydney,Luxury,13105,1900317.74,3.9,Yes,Shoulder,-33.8688,151.2093
2022-05,Switzerland,Lucerne,Luxury,376371,150116632.44,3.3,Yes,Off-Peak,47.0502,8.3093
2025-01,France,Lyon,Luxury,455137,155891074.68,4.0,Yes,Off-Peak,45.764,4.8357
2025-04,India,Mumbai,Wildlife,185222,71838276.36,4.9,Yes,Off-Peak,19.076,72.8777
2025-02,France,Nice,Luxury,461839,126482064.65,3.9,No,Shoulder,43.7102,7.262
2022-11,Australia,Melbourne,Historical,354247,95249513.68,3.4,Yes,Off-Peak,-37.8136,144.9631
2022-07,Australia,Melbourne,Adventure,252745,44156634.66,3.5,Yes,Shoulder,-37.8136,144.9631
2024-06,France,Nice,Wildlife,523119,173685649.7,4.8,No,Shoulder,43.7102,7.262
2022-05,Australia,Melbourne,Wildlife,466124,113555722.87,3.7,No,Shoulder,-37.8136,144.9631
2022-05,India,Mumbai,Urban,536981,134698848.58,3.3,No,Off-Peak,19.076,72.8777
2024-01,France,Paris,Wildlife,536699,158176938.67,4.9,Yes,Off-Peak,48.8566,2.3522
2023-09,Brazil,Salvador,Wildlife,202383,53733880.9,4.9,No,Peak,-12.9777,-38.5016
2025-06,Australia,Sydney,Adventure,534057,50459086.8,4.5,No,Shoulder,-33.8688,151.2093
2023-12,Switzerland,Lucerne,Religious,171457,71949634.58,3.9,No,Shoulder,47.0502,8.3093
2022-05,Brazil,Rio de Janeiro,Religious,355905,40917401.52,4.4,No,Off-Peak,-22.9068,-43.1729
2022-06,Brazil,Rio de Janeiro,Adventure,354555,148628104.57,3.8,No,Peak,-22.9068,-43.1729
2023-08,Brazil,Salvador,Luxury,93834,29847892.34,3.8,Yes,Shoulder,-12.9777,-38.5016
2024-09,Switzerland,Zurich,Religious,448973,38946297.12,3.8,Yes,Off-Peak,47.3769,8.5417
2022-09,Thailand,Bangkok,Adventure,242547,26328739.09,4.7,Yes,Shoulder,13.7563,100.5018
2022-03,Switzerland,Lucerne,Religious,557108,225219447.15,4.3,No,Peak,47.0502,8.3093
2025-11,Italy,Venice,Wildlife,178580,17173359.7,3.9,Yes,Off-Peak,45.4408,12.3155
2023-03,Brazil,Sao Paulo,Nature,475735,92531942.62,4.7,No,Peak,-23.5505,-46.6333
2023-07,Australia,Perth,Luxury,489106,130139111.69,4.0,Yes,Peak,-31.9505,115.8605
2022-04,Brazil,Rio de Janeiro,Wildlife,267147,107773316.22,4.2,Yes,Shoulder,-22.9068,-43.1729
2022-06,Switzerland,Zurich,Adventure,303910,54987281.43,4.8,Yes,Off-Peak,47.3769,8.5417
2023-11,France,Nice,Beach,478041,111628240.75,3.9,No,Peak,43.7102,7.262
2023-03,UAE,Dubai,Beach,398124,78794076.02,3.4,No,Peak,25.2048,55.2708
2024-07,Italy,Rome,Adventure,305814,110328892.09,4.0,Yes,Peak,41.9028,12.4964
2022-10,India,Delhi,Luxury,231130,27998889.04,3.7,No,Peak,28.6139,77.209
2025-05,India,Kerala,Wildlife,445218,45963703.44,4.7,No,Shoulder,10.8505,76.2711
2025-01,Switzerland,Zurich,Nature,545410,188636266.87,3.7,Yes,Shoulder,47.3769,8.5417
2022-12,Australia,Melbourne,Historical,441802,120916474.08,3.8,Yes,Off-Peak,-37.8136,144.9631
2023-12,Thailand,Bangkok,Urban,410674,146408212.75,3.8,Yes,Off-Peak,13.7563,100.5018
2022-09,Japan,Tokyo,Beach,353671,74394923.7,3.8,Yes,Shoulder,35.6762,139.6503
2025-05,Thailand,Chiang Mai,Adventure,506776,192703673.21,3.3,No,Peak,18.7883,98.9853
2023-01,USA,Las Vegas,Beach,50934,10022306.27,3.8,No,Shoulder,36.1699,-115.1398
2025-06,Thailand,Phuket,Nature,43399,8066182.9,4.8,Yes,Shoulder,7.8804,98.3923
2023-12,Australia,Gold Coast,Luxury,135521,55442997.84,4.5,No,Off-Peak,-28.0167,153.4
2023-12,Italy,Milan,Urban,526691,198259550.3,4.5,Yes,Off-Peak,45.4642,9.19
2023-07,Brazil,Rio de Janeiro,Religious,576971,68060206.46,3.8,No,Off-Peak,-22.9068,-43.1729
2022-11,Thailand,Chiang Mai,Wildlife,451815,94913854.17,3.3,No,Shoulder,18.7883,98.9853
2022-05,UAE,Abu Dhabi,Luxury,65144,13968509.91,4.6,Yes,Peak,24.4539,54.3773
2022-09,Italy,Milan,Historical,41489,6941868.57,4.4,No,Off-Peak,45.4642,9.19
2025-08,Brazil,Rio de Janeiro,Wildlife,165891,71509755.11,3.9,Yes,Shoulder,-22.9068,-43.1729
2023-09,Italy,Florence,Urban,422368,72797790.64,3.4,Yes,Off-Peak,43.7696,11.2558
2022-08,Switzerland,Geneva,Urban,593956,217825557.77,4.5,Yes,Shoulder,46.2044,6.1432
2022-08,USA,San Francisco,Adventure,214902,85003567.92,4.0,No,Peak,37.7749,-122.4194
2024-12,Australia,Gold Coast,Urban,73093,29952979.46,4.7,Yes,Off-Peak,-28.0167,153.4
2023-01,Switzerland,Zurich,Adventure,132257,22165266.48,4.1,No,Shoulder,47.3769,8.5417
2024-12,Brazil,Sao Paulo,Adventure,495110,151712048.91,3.4,No,Off-Peak,-23.5505,-46.6333
2024-03,Thailand,Chiang Mai,Historical,435749,55065997.42,3.8,Yes,Off-Peak,18.7883,98.9853
2023-11,Thailand,Chiang Mai,Adventure,547491,221649134.11,4.6,Yes,Peak,18.7883,98.9853
2022-08,UAE,Sharjah,Adventure,63104,12149165.81,3.5,Yes,Off-Peak,25.3463,55.4209
2023-05,Switzerland,Geneva,Nature,87690,27619817.85,4.2,Yes,Shoulder,46.2044,6.1432
2025-06,USA,New York,Adventure,531986,159047388.81,4.2,Yes,Shoulder,40.7128,-74.006
2025-01,Brazil,Salvador,Beach,359019,138343454.8,3.3,Yes,Shoulder,-12.9777,-38.5016
2025-01,Brazil,Sao Paulo,Luxury,226048,69781044.21,3.3,No,Shoulder,-23.5505,-46.6333
2025-08,USA,San Francisco,Luxury,261773,49750098.03,3.3,Yes,Peak,37.7749,-122.4194
2024-06,Thailand,Phuket,Nature,512774,105565424.5,3.5,No,Shoulder,7.8804,98.3923
2023-12,Australia,Perth,Historical,142118,28149721.27,4.0,No,Off-Peak,-31.9505,115.8605
2022-04,Japan,Kyoto,Urban,106514,45778908.79,4.8,No,Peak,35.0116,135.7681
2023-01,Italy,Florence,Adventure,332905,88006183.4,4.1,No,Off-Peak,43.7696,11.2558
2024-02,Thailand,Bangkok,Wildlife,99423,43514867.4,3.6,No,Peak,13.7563,100.5018
2025-03,India,Delhi,Wildlife,523934,97308638.22,3.2,Yes,Off-Peak,28.6139,77.209
2024-02,Italy,Florence,Religious,388545,37587721.28,3.3,Yes,Off-Peak,43.7696,11.2558
2024-01,Switzerland,Geneva,Wildlife,82103,29789392.28,3.7,Yes,Peak,46.2044,6.1432
2023-10,France,Cannes,Religious,396326,142414640.94,3.6,No,Shoulder,43.5528,7.0174
2022-09,India,Goa,Religious,45804,17289515.25,4.1,Yes,Shoulder,15.2993,74.124
2025-04,Switzerland,Zurich,Religious,348897,48889456.23,5.0,No,Shoulder,47.3769,8.5417
2023-08,Australia,Perth,Wildlife,595268,227289435.29,3.9,Yes,Off-Peak,-31.9505,115.8605
2025-03,Brazil,Sao Paulo,Wildlife,32941,5871610.11,4.4,Yes,Shoulder,-23.5505,-46.6333
2024-10,India,Varanasi,Luxury,183794,24752826.76,4.4,Yes,Shoulder,25.3176,82.9739
2024-05,France,Nice,Religious,24857,5840120.09,3.9,Yes,Off-Peak,43.7102,7.262
2025-12,Switzerland,Lucerne,Beach,499514,170402625.45,4.1,No,Shoulder,47.0502,8.3093
2023-09,Thailand,Chiang Mai,Adventure,400129,100062462.48,4.2,No,Shoulder,18.7883,98.9853
2023-04,USA,San Francisco,Urban,206603,59190119.24,3.6,No,Off-Peak,37.7749,-122.4194
2024-07,Japan,Nara,Religious,337441,96973932.39,4.9,No,Off-Peak,34.6851,135.8048
2023-11,France,Cannes,Adventure,418697,78492071.99,3.7,Yes,Off-Peak,43.5528,7.0174
2025-12,Thailand,Chiang Mai,Wildlife,273900,43598065.09,4.7,No,Shoulder,18.7883,98.9853
2025-04,USA,Las Vegas,Nature,119532,20285712.87,4.4,Yes,Shoulder,36.1699,-115.1398
2024-03,Japan,Tokyo,Religious,110065,38018925.35,3.4,Yes,Peak,35.6762,139.6503
2025-06,Switzerland,Zurich,Wildlife,431673,110791445.01,3.6,No,Off-Peak,47.3769,8.5417
2025-06,USA,New York,Nature,98806,27468694.67,4.5,Yes,Peak,40.7128,-74.006
2024-02,UAE,Dubai,Wildlife,43105,6419856.27,4.5,No,Peak,25.2048,55.2708
2023-10,India,Delhi,Urban,117512,29155803.48,4.4,No,Peak,28.6139,77.209
2023-01,Switzerland,Geneva,Historical,291090,58902968.49,4.5,No,Shoulder,46.2044,6.1432
2023-07,Italy,Rome,Nature,358487,51956638.72,4.7,No,Off-Peak,41.9028,12.4964
2024-02,Switzerland,Geneva,Historical,95951,14236158.18,3.5,No,Peak,46.2044,6.1432
2023-04,India,Delhi,Wildlife,407206,146142145.52,4.9,No,Shoulder,28.6139,77.209
2025-06,Brazil,Rio de Janeiro,Religious,279258,93921273.28,3.3,Yes,Off-Peak,-22.9068,-43.1729
2025-08,USA,Las Vegas,Urban,430110,144262093.87,4.3,No,Off-Peak,36.1699,-115.1398
2022-09,Brazil,Rio de Janeiro,Wildlife,234772,32088322.12,4.5,No,Off-Peak,-22.9068,-43.1729
2025-07,Switzerland,Geneva,Nature,568628,205779683.43,4.4,Yes,Shoulder,46.2044,6.1432
2022-05,Thailand,Chiang Mai,Historical,384358,39531403.87,4.2,Yes,Shoulder,18.7883,98.9853
2023-09,Switzerland,Zurich,Wildlife,177529,21837630.71,3.6,No,Peak,47.3769,8.5417
2024-06,Switzerland,Geneva,Adventure,63338,17095034.0,4.0,Yes,Shoulder,46.2044,6.1432
2025-11,Thailand,Chiang Mai,Beach,328139,74323819.08,4.7,Yes,Shoulder,18.7883,98.9853
2023-11,France,Paris,Historical,449278,125901397.01,3.3,Yes,Off-Peak,48.8566,2.3522
2022-12,India,Delhi,Adventure,433728,157597776.43,5.0,No,Off-Peak,28.6139,77.209
2024-01,UAE,Abu Dhabi,Historical,400833,133321156.73,4.4,Yes,Shoulder,24.4539,54.3773
2024-11,Australia,Sydney,Luxury,192143,52968395.07,4.5,Yes,Peak,-33.8688,151.2093
2025-08,India,Delhi,Luxury,490494,135776310.05,4.7,Yes,Off-Peak,28.6139,77.209
2023-01,Australia,Melbourne,Historical,294039,27028184.41,4.4,Yes,Peak,-37.8136,144.9631
2025-03,Japan,Tokyo,Beach,110797,27165562.4,4.4,Yes,Peak,35.6762,139.6503
2023-03,India,Mysuru,Nature,465285,167094411.16,4.6,Yes,Shoulder,12.2958,76.6394
2025-01,USA,Las Vegas,Religious,339394,56900928.95,4.8,Yes,Off-Peak,36.1699,-115.1398
2024-12,USA,Orlando,Adventure,68918,21476052.17,4.0,No,Peak,28.5383,-81.3792
2023-09,Australia,Perth,Luxury,554939,128221927.55,3.7,Yes,Shoulder,-31.9505,115.8605
2023-08,Thailand,Bangkok,Adventure,241290,91240719.96,4.8,No,Off-Peak,13.7563,100.5018
2024-01,Switzerland,Lucerne,Nature,145606,25386171.51,3.8,Yes,Off-Peak,47.0502,8.3093
2025-11,Australia,Sydney,Nature,566654,56137591.7,3.9,Yes,Peak,-33.8688,151.2093
2023-02,Japan,Kyoto,Religious,507681,97565916.01,4.8,Yes,Peak,35.0116,135.7681
2025-09,France,Cannes,Nature,259377,58814736.49,3.6,No,Off-Peak,43.5528,7.0174
2025-06,UAE,Abu Dhabi,Religious,564572,109592596.78,3.8,No,Off-Peak,24.4539,54.3773
2023-02,France,Cannes,Religious,340788,66719865.52,3.3,Yes,Shoulder,43.5528,7.0174
2024-12,Italy,Rome,Luxury,278441,52686925.22,3.6,Yes,Off-Peak,41.9028,12.4964
2024-12,Brazil,Rio de Janeiro,Religious,528555,92608597.42,4.7,No,Off-Peak,-22.9068,-43.1729
2022-09,Italy,Florence,Wildlife,182487,27025900.59,4.8,Yes,Shoulder,43.7696,11.2558
2022-01,India,Jaipur,Luxury,55871,7311942.04,4.3,Yes,Shoulder,26.9124,75.7873
